,Datetime,Tweet,RT
0,Mon Jul 02 21:48:02 +0000 2018,"Today, it was my great honor to welcome Prime Minister Mark Rutte of the Netherlands, to the @WhiteHouse! https://t.co/Zn6ZLM0tzy",False
1,Mon Jul 02 16:29:17 +0000 2018,"RT @DHSgov: Today, DHS, @CBP, and @ICEgov will be sharing stories of the brave men and women who put their lives on the line every day with…",True
2,Mon Jul 02 03:01:30 +0000 2018,Congratulations to Andres Manuel Lopez Obrador on becoming the next President of Mexico. I look very much forward t… https://t.co/g2GfAkKPd0,False
3,Sun Jul 01 23:24:17 +0000 2018,RT @larryelder: BEWARE! #TrumpDerangementSyndrome can be career ending. https://t.co/qm86ya6PlJ,True
4,Sun Jul 01 19:39:28 +0000 2018,"A big week, especially with our numerous victories in the Supreme Court. Heading back to the White House now. Focus… https://t.co/jPZ5kt4XY1",False
5,Sun Jul 01 12:11:05 +0000 2018,"The Liberal Left, also known as the Democrats, want to get rid of ICE, who do a fantastic job, and want Open Border… https://t.co/gVNySrk4Oa",False
6,Sun Jul 01 12:00:03 +0000 2018,I will be interviewed by @MariaBartiromo at 10:00 A.M. on @FoxNews,False
7,Sat Jun 30 19:44:09 +0000 2018,"When people come into our Country illegally, we must IMMEDIATELY escort them back out without going through years o… https://t.co/l0cBzDIMn0",False
8,Sat Jun 30 19:31:42 +0000 2018,I will be interviewed by @MariaBartiromo on Sunday on @FoxNews at 10:00 A. M. Enjoy!,False
9,Sat Jun 30 19:26:12 +0000 2018,"Either we need to elect more Republicans in November or Republicans must end the ridiculous 60 vote, or Filibuster,… https://t.co/BZR2xb8jqq",False
10,Sat Jun 30 19:17:42 +0000 2018,"I never pushed the Republicans in the House to vote for the Immigration Bill, either GOODLATTE 1 or 2, because it c… https://t.co/tpKMP3vO6l",False
11,Sat Jun 30 19:05:48 +0000 2018,"A friend of mine and a man who has truly seen politics and life as few others ever will, Sean Spicer, has written a… https://t.co/klFqfUfhlm",False
12,Sat Jun 30 12:33:55 +0000 2018,"I will be making my choice for Justice of the United States Supreme Court on the first Monday after the July 4th Holiday, July 9th!",False
13,Sat Jun 30 11:37:03 +0000 2018,"Just spoke to King Salman of Saudi Arabia and explained to him that, because of the turmoil &amp; disfunction in Iran a… https://t.co/xxFxafSl3H",False
14,Sat Jun 30 11:22:41 +0000 2018,"To the great and brave men and women of ICE, do not worry or lose your spirit. You are doing a fantastic job of kee… https://t.co/H4iJtg4xB2",False
15,Sat Jun 30 11:07:30 +0000 2018,"The Democrats are making a strong push to abolish ICE, one of the smartest, toughest and most spirited law enforcem… https://t.co/WbFYrPzRLk",False
16,Sat Jun 30 10:59:46 +0000 2018,RT @DanScavino: “@GovMikeHuckabee: Trump could nominate Moses for Supreme Court and Democrats would fight it” https://t.co/5wx3nVJxvF,True
17,Sat Jun 30 10:59:04 +0000 2018,"RT @realDonaldTrump: Six months after our TAX CUTS, more than 6 MILLION workers have received bonuses, pay raises, and retirement account c…",True
18,Sat Jun 30 10:57:05 +0000 2018,"RT @realDonaldTrump: Before going any further today, I want to address the horrific shooting that took place yesterday at the Capital Gazet…",True
19,Sat Jun 30 10:49:42 +0000 2018,"RT @IvankaTrump: Thank you @SecPompeo. 
It was an honor to join you and your talented, passionate colleagues at @StateDept to honor the her…",True
20,Sat Jun 30 10:49:20 +0000 2018,RT @IvankaTrump: Thank you Senator Alexander for your leadership on career + technical education. 11+ million students and workers across o…,True
21,Fri Jun 29 23:30:02 +0000 2018,The new plant being built by Foxconn in Wisconsin is incredible. Congratulations to the people of Wisconsin and to… https://t.co/VH2tbPgIbH,False
22,Fri Jun 29 23:21:33 +0000 2018,"RT @FoxBusiness: .@IvankaTrump: ""I think one of the tremendous opportunities that were seeing because the economy is so strong is that peop…",True
23,Fri Jun 29 23:20:18 +0000 2018,"RT @Scavino45: “@ICEgov New York operation leads to arrests of 3 dozen Darknet vendors selling illicit goods, weapons, drugs seized and mor…",True
24,Fri Jun 29 18:06:13 +0000 2018,"Six months after our TAX CUTS, more than 6 MILLION workers have received bonuses, pay raises, and retirement accoun… https://t.co/GzLNe4WkQA",False
25,Fri Jun 29 17:59:22 +0000 2018,"Before going any further today, I want to address the horrific shooting that took place yesterday at the Capital Ga… https://t.co/wcukrK7M48",False
26,Thu Jun 28 20:49:55 +0000 2018,"Prior to departing Wisconsin, I was briefed on the shooting at Capital Gazette in Annapolis, Maryland. My thoughts… https://t.co/DUhjdWWxBP",False
27,Thu Jun 28 19:09:42 +0000 2018,"AMERICA IS OPEN FOR BUSINESS! 
https://t.co/fuRF2Z6CZl",False
28,Thu Jun 28 18:57:22 +0000 2018,"Today, we broke ground on a plant that will provide jobs for up to 15,000 Wisconsin Workers! As Foxconn has discove… https://t.co/AkvrABaDNj",False
29,Thu Jun 28 13:06:01 +0000 2018,"I am in Milwaukee, Wisconsin, for meetings. Soon to leave for a big groundbreaking for Foxconn, which is building a… https://t.co/d5Y3nMwa3g",False
30,Thu Jun 28 12:56:17 +0000 2018,....persecuted on old and/or totally unrelated charges (there was no collusion and there was no obstruction of the… https://t.co/SpG2p56INu,False
31,Thu Jun 28 12:43:25 +0000 2018,When is Bob Mueller going to list his Conflicts of Interest? Why has it taken so long? Will they be listed at the t… https://t.co/RNYRkyxZFx,False
32,Thu Jun 28 12:30:31 +0000 2018,Peter Strzok worked as the leader of the Rigged Witch Hunt for a long period of time - he got it started and was on… https://t.co/HgmUjpufjL,False
33,Thu Jun 28 11:38:40 +0000 2018,"Just watched @SharkGregNorman on @foxandfriends. Said “President is doing a great job. All over the world, people w… https://t.co/SBsUQf6LYp",False
34,Thu Jun 28 11:32:09 +0000 2018,"Amy Kremer, Women for Trump, was so great on @foxandfriends. Brave and very smart, thank you Amy! @AmyKremer",False
35,Thu Jun 28 11:25:15 +0000 2018,"Russia continues to say they had nothing to do with Meddling in our Election! Where is the DNC Server, and why didn… https://t.co/aKI3hu6wef",False
36,Thu Jun 28 11:02:01 +0000 2018,"Lover FBI Agent Peter Strzok was given poor marks on yesterday’s closed door testimony and, according to most repor… https://t.co/rijMTcMPQg",False
37,Thu Jun 28 03:24:54 +0000 2018,In recent days we have heard shameless attacks on our courageous law enforcement officers. Extremist Democrat polit… https://t.co/bRsezeDPBR,False
38,Thu Jun 28 03:03:04 +0000 2018,"Thank you North Dakota. Together, we are MAKING AMERICA SAFE AND GREAT AGAIN! #MAGA https://t.co/6Am9n6px8I",False
39,Wed Jun 27 23:14:58 +0000 2018,Just landed in North Dakota with @SenJohnHoeven and @RepKevinCramer. We will see everyone at Scheels Arena shortly! https://t.co/pakUigKB61,False
40,Wed Jun 27 21:18:03 +0000 2018,"Today, it was my great honor to welcome President Marcelo Rebelo de Sousa of Portugal to the @WhiteHouse!🇺🇸🇵🇹 https://t.co/yd37K4Ei8R",False
41,Wed Jun 27 20:28:58 +0000 2018,Heading to North Dakota to fully stand with and endorse Kevin Cramer for Senate. He is an extraordinary Congressman… https://t.co/qMniRSctDT,False
42,Wed Jun 27 19:13:34 +0000 2018,Statement on Justice Anthony Kennedy. #SCOTUS https://t.co/8aWJ6fWemA,False
43,Wed Jun 27 17:33:03 +0000 2018,"Today, I was thrilled to join student leaders from Colleges and Universities across the country... https://t.co/OQp3NcOeE4",False
44,Wed Jun 27 15:26:24 +0000 2018,"Harley-Davidson should stay 100% in America, with the people that got you your success. I’ve done so much for you,… https://t.co/kNmruD0swh",False
45,Wed Jun 27 14:11:05 +0000 2018,"Supreme Court rules in favor of non-union workers who are now, as an example, able to support a candidate of his or… https://t.co/zZlPRIgB26",False
46,Wed Jun 27 12:39:56 +0000 2018,"HOUSE REPUBLICANS SHOULD PASS THE STRONG BUT FAIR IMMIGRATION BILL, KNOWN AS GOODLATTE II, IN THEIR AFTERNOON VOTE… https://t.co/7NPrGsNjNW",False
47,Wed Jun 27 11:18:02 +0000 2018,"Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of… https://t.co/CusnE1izm7",False
48,Wed Jun 27 03:52:16 +0000 2018,Big and conclusive win by Mitt Romney. Congratulations! I look forward to working together - there is so much good… https://t.co/CqjLaLDkkc,False
49,Wed Jun 27 02:59:30 +0000 2018,The legendary Gary Player at Turnberry in Scotland! https://t.co/3oGoqWhhtA,False
50,Wed Jun 27 02:54:46 +0000 2018,A great First Lady! https://t.co/Pt35aluI4C,False
51,Wed Jun 27 02:50:11 +0000 2018,RT @The_Trump_Train: @realDonaldTrump  https://t.co/9ubTCAyZkq,True
52,Wed Jun 27 02:47:23 +0000 2018,The Democrats are in Turmoil! Open Borders and unchecked Crime a certain way to lose elections. Republicans are for… https://t.co/srI2CTyDds,False
